Original1	"Renamed1"
Original2	"Renamed2"
Original3	"Renamed3"
Original4	"Renamed4"
Original5	"Renamed5"
Original6	"Renamed6"
Original7	"Renamed7"
Original8	"Renamed8"
Original9	"Renamed9"
Original10	"Renamed10"
Original11	"Renamed11"
Original12	"Renamed12"
Original13	"Renamed13"
Original14	"Renamed14"
Original15	"Renamed15"
Original16	"Renamed16"
Original17	"Renamed17"
Original18	"Renamed18"
Original19	"Renamed19"
Original20	"Renamed20"
Original21	"Renamed21"
Original22	"Renamed22"
Original23	"Renamed23"
Original24	"Renamed24"
Original25	"Renamed25"
Original26	"Renamed26"
Original27	"Renamed27"
Original28	"Renamed28"
Original29	"Renamed29"
Original30	"Renamed30"
Original31	"Renamed31"
Original32	"Renamed32"
Original33	"Renamed33"
Original34	"Renamed34"
Original35	"Renamed35"
Original36	"Renamed36"
Original37	"Renamed37"
OriginalW	"RenamedW"
OriginalZ	"RenamedZ"
OriginalMT	"RenamedMT"
